index,time,channel,amplitude
460,11.91175,c_903ch,-29.13409
461,11.96315,c_67ch,-24.96643
462,11.9963,c_903ch,-27.63427
463,12.00375,c_1020ch,-22.90072
464,12.1282,c_909ch,-21.06605
465,12.173,c_153ch,-34.94392
466,12.1955,c_751ch,-20.02908
467,12.20665,c_708ch,-18.65958
468,12.20705,c_724ch,-21.1019
469,12.22365,c_932ch,-27.13966
470,12.2788,c_751ch,-24.02011
471,12.33345,c_868ch,-27.8144
472,12.4327,c_1016ch,-41.93698
473,12.43295,c_660ch,-19.86493
474,12.4536,c_724ch,-22.46897
475,12.45405,c_528ch,-34.85626
476,12.45435,c_660ch,-32.7801
477,12.4695,c_396ch,-23.51934
478,12.48575,c_686ch,-32.49298
479,12.4978,c_774ch,-17.57319
480,12.5083,c_153ch,-29.19083
481,12.50865,c_153ch,-34.32106
482,12.53025,c_91ch,-21.7815
483,12.62735,c_933ch,-32.74733
484,12.7297,c_933ch,-24.90556
485,12.7472,c_951ch,-24.65515
486,12.7473,c_22ch,-21.06591
487,12.75055,c_611ch,-38.54015
488,12.75535,c_11ch,-31.47266
489,12.79055,c_886ch,-31.55168
490,12.79935,c_815ch,-22.17799
491,12.8754,c_733ch,-32.3325
492,12.876,c_932ch,-19.28057
493,12.90405,c_875ch,-22.37715
494,12.9382,c_933ch,-27.6272
495,12.98755,c_733ch,-27.01633
496,13.0094,c_708ch,-22.76632
497,13.0265,c_733ch,-30.16977
498,13.07075,c_724ch,-25.46491
499,13.0856,c_236ch,-27.6155
500,13.09865,c_933ch,-25.69864
501,13.20905,c_909ch,-24.39848
502,13.21545,c_747ch,-31.12319
503,13.42555,c_724ch,-21.49946
504,13.4777,c_6ch,-19.98767
505,13.54175,c_392ch,-36.64624
506,13.5579,c_236ch,-33.77127
507,13.5816,c_629ch,-24.18946
508,13.58165,c_95ch,-19.44806
509,13.58165,c_99ch,-22.79696
510,13.58565,c_942ch,-27.81849
511,13.5958,c_528ch,-27.5716
512,13.59615,c_660ch,-32.33976
513,13.5962,c_888ch,-22.68734
514,13.6392,c_932ch,-21.76003
515,13.6423,c_153ch,-34.59993
516,13.68645,c_1016ch,-27.53715
517,13.6867,c_660ch,-24.46647
518,13.72795,c_385ch,-16.34756
519,13.79785,c_733ch,-30.54497
520,13.9096,c_686ch,-31.60258
521,13.9646,c_868ch,-26.12037
522,13.9667,c_906ch,-28.11043
523,13.96685,c_986ch,-25.77678
524,14.0218,c_936ch,-147.4656
525,14.0218,c_889ch,-261.4524
526,14.0218,c_34ch,-119.7674
527,14.0218,c_215ch,-207.0166
528,14.0218,c_956ch,-226.6195
529,14.0218,c_58ch,-125.8683
530,14.0346,c_731ch,-20.0634
531,14.0697,c_754ch,-77.18291
532,14.07305,c_734ch,-50.94422
533,14.07445,c_734ch,-46.0195
